flim,combo_id,xy_pixel_um,z_pixel_um,stack_preprocess,enhance_thin_branches,image_fusion_percentile,image_fusion_weight,dendrite_closing_iterations,map_tag,pred_min,pred_max,pred_mean,frac3d_gt_0_1,frac_mip_gt_0_1,frac3d_gt_0_2,frac_mip_gt_0_2,frac3d_gt_0_3,frac_mip_gt_0_3,n_components_mip_0_2,largest_component_px_0_2,skel2d_len_0_2,skel3d_len_0_2,skel2d_len_0_3,skel3d_len_0_3,skel2d_len_0_5,skel3d_len_0_5,fused_map_tag,fused_pred_min,fused_pred_max,fused_pred_mean,fused_frac3d_gt_0_1,fused_frac_mip_gt_0_1,fused_frac3d_gt_0_2,fused_frac_mip_gt_0_2,fused_frac3d_gt_0_3,fused_frac_mip_gt_0_3,fused_n_components_mip_0_2,fused_largest_component_px_0_2,fused_skel2d_len_0_2,fused_skel3d_len_0_2,fused_skel2d_len_0_3,fused_skel3d_len_0_3,fused_skel2d_len_0_5,fused_skel3d_len_0_5,delta_frac_mip_0_2,delta_skel2d_0_3
\\RY-LAB-WS04\ImagingData\Tetsuya\20260515\lowmags\AP5_pos6_256_4x_001.flim,pp_tophat_clahe_fus_p88_w40_c0,0.2666015625,2.0,tophat_clahe,True,88.0,0.4,0,raw,1.8479000573279336e-05,1.0,0.017631925642490387,0.018028846153846152,0.199981689453125,0.017804072453425482,0.197845458984375,0.017657353327824518,0.19677734375,22,10041.0,2282,2371,2265,2347,2238,2323,fused,2.5375640689162537e-05,1.0,0.07018668949604034,0.1493512667142428,0.756072998046875,0.14934891920823318,0.756072998046875,0.14934833233173078,0.756072998046875,174,48810.0,7878,23857,7878,23857,2238,2323,0.5582275390625,5613
\\RY-LAB-WS04\ImagingData\Tetsuya\20260515\lowmags\AP5_pos6_256_4x_001.flim,pp_tophat_clahe_fus_p88_w40_c1,0.2666015625,2.0,tophat_clahe,True,88.0,0.4,1,raw,1.8479000573279336e-05,1.0,0.017631925642490387,0.018028846153846152,0.199981689453125,0.017804072453425482,0.197845458984375,0.017657353327824518,0.19677734375,22,10041.0,2282,2371,2265,2347,2238,2323,fused,5.826192136737518e-05,1.0,0.07453297823667526,0.16016211876502404,0.770751953125,0.16016211876502404,0.770751953125,0.16016153188852164,0.770751953125,130,49906.0,6922,14664,6922,14664,2237,2319,0.572906494140625,4657
\\RY-LAB-WS04\ImagingData\Tetsuya\20260515\lowmags\AP5_pos6_256_4x_001.flim,pp_tophat_clahe_fus_p88_w40_c2,0.2666015625,2.0,tophat_clahe,True,88.0,0.4,2,raw,1.8479000573279336e-05,1.0,0.017631925642490387,0.018028846153846152,0.199981689453125,0.017804072453425482,0.197845458984375,0.017657353327824518,0.19677734375,22,10041.0,2282,2371,2265,2347,2238,2323,fused,5.826192136737518e-05,1.0,0.07453297823667526,0.16016211876502404,0.770751953125,0.16016211876502404,0.770751953125,0.16016153188852164,0.770751953125,130,49906.0,6922,14664,6922,14664,2237,2319,0.572906494140625,4657
\\RY-LAB-WS04\ImagingData\Tetsuya\20260515\lowmags\AP5_pos6_256_4x_001.flim,pp_tophat_clahe_fus_p88_w55_c0,0.2666015625,2.0,tophat_clahe,True,88.0,0.55,0,raw,1.8479000573279336e-05,1.0,0.017631925642490387,0.018028846153846152,0.199981689453125,0.017804072453425482,0.197845458984375,0.017657353327824518,0.19677734375,22,10041.0,2282,2371,2265,2347,2238,2323,fused,2.5375640689162537e-05,1.0,0.08996821194887161,0.1493512667142428,0.756072998046875,0.14934891920823318,0.756072998046875,0.14934833233173078,0.756072998046875,174,48810.0,7878,23857,7878,23857,7878,23859,0.5582275390625,5613
\\RY-LAB-WS04\ImagingData\Tetsuya\20260515\lowmags\AP5_pos6_256_4x_001.flim,pp_tophat_clahe_fus_p88_w55_c1,0.2666015625,2.0,tophat_clahe,True,88.0,0.55,1,raw,1.8479000573279336e-05,1.0,0.017631925642490387,0.018028846153846152,0.199981689453125,0.017804072453425482,0.197845458984375,0.017657353327824518,0.19677734375,22,10041.0,2282,2371,2265,2347,2238,2323,fused,5.826192136737518e-05,1.0,0.09593197703361511,0.16016211876502404,0.770751953125,0.16016211876502404,0.770751953125,0.16016153188852164,0.770751953125,130,49906.0,6922,14664,6922,14664,6922,14664,0.572906494140625,4657
\\RY-LAB-WS04\ImagingData\Tetsuya\20260515\lowmags\AP5_pos6_256_4x_001.flim,pp_tophat_clahe_fus_p88_w55_c2,0.2666015625,2.0,tophat_clahe,True,88.0,0.55,2,raw,1.8479000573279336e-05,1.0,0.017631925642490387,0.018028846153846152,0.199981689453125,0.017804072453425482,0.197845458984375,0.017657353327824518,0.19677734375,22,10041.0,2282,2371,2265,2347,2238,2323,fused,5.826192136737518e-05,1.0,0.09593197703361511,0.16016211876502404,0.770751953125,0.16016211876502404,0.770751953125,0.16016153188852164,0.770751953125,130,49906.0,6922,14664,6922,14664,6922,14664,0.572906494140625,4657
\\RY-LAB-WS04\ImagingData\Tetsuya\20260515\lowmags\AP5_pos6_256_4x_001.flim,pp_tophat_clahe_fus_p88_w70_c0,0.2666015625,2.0,tophat_clahe,True,88.0,0.7,0,raw,1.8479000573279336e-05,1.0,0.017631925642490387,0.018028846153846152,0.199981689453125,0.017804072453425482,0.197845458984375,0.017657353327824518,0.19677734375,22,10041.0,2282,2371,2265,2347,2238,2323,fused,2.5375640689162537e-05,1.0,0.10976985841989517,0.1493512667142428,0.756072998046875,0.14934891920823318,0.756072998046875,0.14934833233173078,0.756072998046875,174,48810.0,7878,23857,7878,23857,7878,23859,0.5582275390625,5613
\\RY-LAB-WS04\ImagingData\Tetsuya\20260515\lowmags\AP5_pos6_256_4x_001.flim,pp_tophat_clahe_fus_p88_w70_c1,0.2666015625,2.0,tophat_clahe,True,88.0,0.7,1,raw,1.8479000573279336e-05,1.0,0.017631925642490387,0.018028846153846152,0.199981689453125,0.017804072453425482,0.197845458984375,0.017657353327824518,0.19677734375,22,10041.0,2282,2371,2265,2347,2238,2323,fused,5.826192136737518e-05,1.0,0.11735045164823532,0.16016211876502404,0.770751953125,0.16016211876502404,0.770751953125,0.16016153188852164,0.770751953125,130,49906.0,6922,14664,6922,14664,6922,14664,0.572906494140625,4657
\\RY-LAB-WS04\ImagingData\Tetsuya\20260515\lowmags\AP5_pos6_256_4x_001.flim,pp_tophat_clahe_fus_p88_w70_c2,0.2666015625,2.0,tophat_clahe,True,88.0,0.7,2,raw,1.8479000573279336e-05,1.0,0.017631925642490387,0.018028846153846152,0.199981689453125,0.017804072453425482,0.197845458984375,0.017657353327824518,0.19677734375,22,10041.0,2282,2371,2265,2347,2238,2323,fused,5.826192136737518e-05,1.0,0.11735045164823532,0.16016211876502404,0.770751953125,0.16016211876502404,0.770751953125,0.16016153188852164,0.770751953125,130,49906.0,6922,14664,6922,14664,6922,14664,0.572906494140625,4657
\\RY-LAB-WS04\ImagingData\Tetsuya\20260515\lowmags\AP5_pos6_256_4x_001.flim,pp_tophat_clahe_fus_p90_w40_c0,0.2666015625,2.0,tophat_clahe,True,90.0,0.4,0,raw,1.8479000573279336e-05,1.0,0.017631925642490387,0.018028846153846152,0.199981689453125,0.017804072453425482,0.197845458984375,0.017657353327824518,0.19677734375,22,10041.0,2282,2371,2265,2347,2238,2323,fused,2.5375640689162537e-05,1.0,0.07018668949604034,0.1493512667142428,0.756072998046875,0.14934891920823318,0.756072998046875,0.14934833233173078,0.756072998046875,174,48810.0,7878,23857,7878,23857,2238,2323,0.5582275390625,5613
