image_rel,session,group,set_label,category,human_reject,assign_shift_px,assign_corr,drift_info_px,contrast_first,spine_drop,unc_dist_px,drift_df_px,drift_local_px,z_match_corr,z_neighbor_corr,bead_fraction,bright_cv,low_assign_corr,low_contrast,low_spine_drop,low_z_match,low_z_neighbor
keep/20260623_1_pos1__highmag_1_set0.png,20260623,1_pos1__highmag_1_,0.0,9,False,1.7677669529663689,0.6044183321533665,5.300000000787231,2.1944444444444446,1.1518987341772151,0.0,0.3605551275463989,3.342154993413681,0.8434426553386133,0.987827940154582,0.034324942791762014,0.9245750788305314,-0.6044183321533665,-2.1944444444444446,-1.1518987341772151,-0.8434426553386133,-0.987827940154582
keep/20260623_1_pos1__highmag_1_set2.png,20260623,1_pos1__highmag_1_,2.0,9,False,1.0606601717798212,0.4366202723661337,2.236067975767149,2.4615384615384617,0.8125,0.0,0.316227766016838,0.447213595499958,0.9203444332278197,0.992850466967439,0.005311077389984826,0.7361765009336769,-0.4366202723661337,-2.4615384615384617,-0.8125,-0.9203444332278197,-0.992850466967439
keep/20260623_1_pos1__highmag_3_set0.png,20260623,1_pos1__highmag_3_,0.0,9,False,2.0615528128088303,0.5548617912736618,1.55241749592639,3.0,1.0833333333333333,0.0,0.7615773105863908,0.223606797749979,0.856833982407863,0.9884584262209932,0.03351104341203351,0.9762995793332166,-0.5548617912736618,-3.0,-1.0833333333333333,-0.856833982407863,-0.9884584262209932
keep/20260623_1_pos1__highmag_3_set1.png,20260623,1_pos1__highmag_3_,1.0,9,False,1.25,0.6364398477622524,8.287339744018135,0.75,1.0793650793650793,0.0,4.652956049652738,2.1,0.8962184109934034,0.9888981398760736,0.05368098159509203,0.6392205210775649,-0.6364398477622524,-0.75,-1.0793650793650793,-0.8962184109934034,-0.9888981398760736
keep/20260623_1_pos1__highmag_3_set2.png,20260623,1_pos1__highmag_3_,2.0,9,False,0.7071067811865476,0.4530598730437101,4.060788107454536,1.2173913043478262,1.0267857142857142,0.0,1.4035668847618197,0.58309518948453,0.802739365642651,0.9877837159629854,0.04204892966360856,0.7635557068100096,-0.4530598730437101,-1.2173913043478262,-1.0267857142857142,-0.802739365642651,-0.9877837159629854
keep/20260623_1_pos1__highmag_4_set0.png,20260623,1_pos1__highmag_4_,0.0,9,False,0.7905694150420949,0.5463328262977278,3.84187464857868,0.4484126984126984,1.1910699919549477,2.738600015640259,1.2041594578792296,1.4560219778561034,0.7779162560376848,0.9871779830958025,0.03490136570561457,0.872335397114583,-0.5463328262977278,-0.4484126984126984,-1.1910699919549477,-0.7779162560376848,-0.9871779830958025
keep/20260623_1_pos1__highmag_4_set1.png,20260623,1_pos1__highmag_4_,1.0,9,False,1.600781059358212,0.5908740054101139,5.731491977633623,5.0,0.65,0.9549999833106996,1.9000000000000004,0.2,0.9290743002647341,0.985858357114545,0.012996941896024464,0.7167786161461905,-0.5908740054101139,-5.0,-0.65,-0.9290743002647341,-0.985858357114545
keep/20260623_1_pos1__highmag_4_set2.png,20260623,1_pos1__highmag_4_,2.0,9,False,2.3717082451262845,0.4898386690145597,3.498571206417544,0.5,0.8076923076923077,0.0,1.6492422502470645,2.1377558326431947,0.9453962098842944,0.9892548937531969,0.022103658536585365,0.773509020917089,-0.4898386690145597,-0.5,-0.8076923076923077,-0.9453962098842944,-0.9892548937531969
keep/20260623_1_pos1__highmag_5_set0.png,20260623,1_pos1__highmag_5_,0.0,9,False,1.8027756377319943,0.8249380255866523,1.303840528698079,1.8,1.022222222222222,3.2792999744415283,2.220360331117452,0.806225774829855,0.8005285950632113,0.9658592463305755,0.011160714285714286,1.0737466496765993,-0.8249380255866523,-1.8,-1.022222222222222,-0.8005285950632113,-0.9658592463305755
keep/20260623_1_pos1__highmag_5_set2.png,20260623,1_pos1__highmag_5_,2.0,9,False,1.9039432764659767,0.6966473362170709,3.512833710808268,1.0,0.6666666666666666,0.0,1.0440306508910548,0.9055385138137416,0.8647879215169824,0.9815484214515352,0.025699168556311415,0.9904394951902875,-0.6966473362170709,-1.0,-0.6666666666666666,-0.8647879215169824,-0.9815484214515352
