image_rel,session,group,set_label,category,human_reject,assign_shift_px,assign_corr,drift_info_px,contrast_first,spine_drop,unc_dist_px,drift_df_px,drift_local_px
keep/20260623_1_pos1__highmag_1_set0.png,20260623,1_pos1__highmag_1_,0.0,9,False,1.7677669529663689,0.6044183321533665,5.300000000787231,2.1944444444444446,1.1518987341772151,0.0,0.36055512754639896,3.342154993413681
keep/20260623_1_pos1__highmag_1_set2.png,20260623,1_pos1__highmag_1_,2.0,9,False,1.0606601717798212,0.43662027236613377,2.236067975767149,2.4615384615384617,0.8125,0.0,0.316227766016838,0.447213595499958
keep/20260623_1_pos1__highmag_3_set0.png,20260623,1_pos1__highmag_3_,0.0,9,False,2.0615528128088303,0.5548617912736618,1.5524174959263901,3.0,1.0833333333333333,0.0,0.7615773105863908,0.223606797749979
keep/20260623_1_pos1__highmag_3_set1.png,20260623,1_pos1__highmag_3_,1.0,9,False,1.25,0.6364398477622524,8.287339744018135,0.75,1.0793650793650793,0.0,4.652956049652738,2.1
keep/20260623_1_pos1__highmag_3_set2.png,20260623,1_pos1__highmag_3_,2.0,9,False,0.7071067811865476,0.45305987304371015,4.060788107454536,1.2173913043478262,1.0267857142857142,0.0,1.4035668847618195,0.58309518948453
keep/20260623_1_pos1__highmag_4_set0.png,20260623,1_pos1__highmag_4_,0.0,9,False,0.7905694150420949,0.5463328262977278,3.8418746485786794,0.44841269841269843,1.1910699919549477,2.738600015640259,1.2041594578792296,1.4560219778561034
keep/20260623_1_pos1__highmag_4_set1.png,20260623,1_pos1__highmag_4_,1.0,9,False,1.6007810593582121,0.5908740054101139,5.731491977633623,5.0,0.65,0.9549999833106995,1.9000000000000004,0.2
keep/20260623_1_pos1__highmag_4_set2.png,20260623,1_pos1__highmag_4_,2.0,9,False,2.3717082451262845,0.48983866901455975,3.498571206417544,0.5,0.8076923076923077,0.0,1.6492422502470645,2.1377558326431947
keep/20260623_1_pos1__highmag_5_set0.png,20260623,1_pos1__highmag_5_,0.0,9,False,1.8027756377319946,0.8249380255866523,1.303840528698079,1.8,1.0222222222222221,3.2792999744415283,2.220360331117452,0.806225774829855
keep/20260623_1_pos1__highmag_5_set2.png,20260623,1_pos1__highmag_5_,2.0,9,False,1.9039432764659772,0.6966473362170709,3.512833710808268,1.0,0.6666666666666666,0.0,1.0440306508910548,0.9055385138137417
keep/20260623_1_pos1__highmag_6_set0.png,20260623,1_pos1__highmag_6_,0.0,9,False,2.0155644370746373,0.8319250122705562,3.4132096806743752,2.1451612903225805,0.8080200501253133,0.9549999833106995,1.7464249196572978,0.316227766016838
keep/20260623_1_pos1__highmag_6_set1.png,20260623,1_pos1__highmag_6_,1.0,9,False,2.3048861143232218,0.6827564047935867,0.42426407924864074,1.4,0.7417582417582419,0.0,0.31622776601683794,0.28284271247461906
keep/20260623_1_pos1__highmag_6_set2.png,20260623,1_pos1__highmag_6_,2.0,2,True,2.692582403567252,0.47157930075609966,1.0295630245194667,2.361111111111111,0.49411764705882355,13.531499862670898,2.23606797749979,0.4123105625617661
keep/20260623_1_pos1__highmag_7_set0.png,20260623,1_pos1__highmag_7_,0.0,9,False,1.8027756377319946,0.8056261977388737,1.6278820601591935,2.3333333333333335,0.9753694581280788,0.0,0.412310562561766,0.4123105625617661
keep/20260623_1_pos1__highmag_7_set1.png,20260623,1_pos1__highmag_7_,1.0,9,False,2.3717082451262845,0.5256309588615959,20.35779948035414,1.3333333333333333,1.078125,0.9549999833106995,11.2,5.913543776789007
keep/20260623_1_pos1__highmag_7_set2.png,20260623,1_pos1__highmag_7_,2.0,2,True,4.422951503238533,0.43702174351627093,37.56447797909418,0.9333333333333333,0.9033613445378151,25.820098876953125,15.463828762631849,5.79396237474839
keep/20260623_2_pos1__highmag_1_set0.png,20260623,2_pos1__highmag_1_,0.0,9,False,1.118033988749895,0.646126497999887,5.385164807134505,1.2222222222222223,0.9545454545454545,0.9549999833106995,3.132091952673165,0.4
keep/20260623_2_pos1__highmag_1_set1.png,20260623,2_pos1__highmag_1_,1.0,9,False,3.0413812651491097,0.5428523583152791,12.9247824625214,1.263157894736842,0.5480769230769231,1.3693000078201294,6.661080993352355,1.3038404810405297
keep/20260623_2_pos1__highmag_1_set2.png,20260623,2_pos1__highmag_1_,2.0,9,False,3.1622776601683795,0.3060707781815082,12.677539272050055,1.95,1.0955710955710956,0.0,8.864536084872123,2.220360331117452
keep/20260623_2_pos1__highmag_2_set0.png,20260623,2_pos1__highmag_2_,0.0,9,False,0.5,0.7322754837045586,1.0000000095367432,2.6666666666666665,0.8,0.0,1.3038404810405297,0.4
keep/20260623_2_pos1__highmag_3_set0.png,20260623,2_pos1__highmag_3_,0.0,9,False,1.25,0.7846429647824643,1.9026297620201575,2.4444444444444446,0.8636363636363635,1.3693000078201294,1.8027756377319948,0.447213595499958
keep/20260623_2_pos1__highmag_3_set1.png,20260623,2_pos1__highmag_3_,1.0,9,False,2.0615528128088303,0.6427560832125244,5.6044625103928,0.8823529411764706,0.7083333333333334,0.0,3.1144823004794877,0.7211102550927979
keep/20260623_2_pos1__highmag_3_set2.png,20260623,2_pos1__highmag_3_,2.0,9,False,2.3048861143232218,0.5145649587006665,4.949747522253799,1.2666666666666666,1.0714285714285716,0.9549999833106995,2.2,0.5099019513592785
keep/20260623_2_pos1__highmag_4_set0.png,20260623,2_pos1__highmag_4_,0.0,9,False,1.6770509831248424,0.7522790893234307,3.9319206003938385,1.1666666666666667,1.2857142857142856,0.0,1.711724276862369,0.5385164807134505
keep/20260623_2_pos1__highmag_4_set1.png,20260623,2_pos1__highmag_4_,1.0,9,False,2.5,0.5973309676989949,1.513274642110646,0.7156862745098039,1.197651663405088,0.9549999833106995,1.7117242768623688,0.9055385138137417
keep/20260623_2_pos1__highmag_5_set0.png,20260623,2_pos1__highmag_5_,0.0,9,False,3.010398644698074,0.739420405019098,1.5000000447034836,0.85,0.7894736842105263,0.0,2.3853720883753127,2.4041630560342613
