method,frame,time_sec,shift_z_px,shift_y_px,shift_x_px,shift_z_um,shift_y_um,shift_x_um
01_traditional,0,0,0.0,0.0,0.0,0.0,0.0,0.0
01_traditional,1,1634,0.0,0.0,5.25,0.0,0.0,0.6998291015625
01_traditional,2,2032,0.0,0.0,0.0,0.0,0.0,0.0
01_traditional,3,2651,0.0,0.25,0.75,0.0,0.0330810546875,0.0999755859375
01_traditional,4,2765,0.0,0.0,2.75,0.0,0.0,0.3665771484375
01_traditional,5,3484,0.0,0.0,0.25,0.0,0.0,0.0333251953125
01_traditional,6,3864,0.0,0.0,-0.25,0.0,0.0,-0.0333251953125
01_traditional,7,4241,0.0,0.0,10.25,0.0,0.0,1.3663330078125
01_traditional,8,4617,0.0,0.0,2.75,0.0,0.0,0.3665771484375
01_traditional,9,5001,0.0,0.0,0.25,0.0,0.0,0.0333251953125
01_traditional,10,5400,0.0,0.0,10.75,0.0,0.0,1.4329833984375
01_traditional,11,6021,0.0,0.0,2.0,0.0,0.0,0.2666015625
01_traditional,12,6135,0.0,0.25,0.0,0.0,0.0330810546875,0.0
01_traditional,13,6857,0.0,0.0,6.25,0.0,0.0,0.8331298828125
01_traditional,14,7232,0.0,0.0,0.25,0.0,0.0,0.0333251953125
01_traditional,15,7611,0.0,0.0,3.0,0.0,0.0,0.39990234375
01_traditional,16,7985,0.0,0.0,5.25,0.0,0.0,0.6998291015625
02_xy_z_split,0,0,0.0,0.0,0.0,0.0,0.0,0.0
02_xy_z_split,1,1634,-0.1,-0.1,5.2,-0.1,-0.013232421875,0.6931640625000001
02_xy_z_split,2,2032,-0.1,-0.1,-0.1,-0.1,-0.013232421875,-0.013330078125
02_xy_z_split,3,2651,-0.1,0.0,3.5,-0.1,0.0,0.466552734375
02_xy_z_split,4,2765,0.0,-0.1,3.1,0.0,-0.013232421875,0.41323242187500003
02_xy_z_split,5,3484,0.0,0.1,0.0,0.0,0.013232421875,0.0
02_xy_z_split,6,3864,-0.1,0.1,0.0,-0.1,0.013232421875,0.0
02_xy_z_split,7,4241,-0.2,-0.1,10.4,-0.2,-0.013232421875,1.3863281250000001
02_xy_z_split,8,4617,0.0,0.0,0.8,0.0,0.0,0.106640625
02_xy_z_split,9,5001,0.1,0.0,0.2,0.1,0.0,0.02666015625
02_xy_z_split,10,5400,-0.1,0.0,7.9,-0.1,0.0,1.0530761718750001
02_xy_z_split,11,6021,0.1,0.0,3.9,0.1,0.0,0.519873046875
02_xy_z_split,12,6135,0.1,0.1,2.3,0.1,0.013232421875,0.306591796875
02_xy_z_split,13,6857,-0.1,-0.1,6.8,-0.1,-0.013232421875,0.9064453124999999
02_xy_z_split,14,7232,0.1,-0.1,0.1,0.1,-0.013232421875,0.013330078125
02_xy_z_split,15,7611,-0.2,0.2,3.5,-0.2,0.02646484375,0.466552734375
02_xy_z_split,16,7985,-0.1,0.0,4.7,-0.1,0.0,0.6265136718750001
04_structure_laplacian,0,0,0.0,0.0,0.0,0.0,0.0,0.0
04_structure_laplacian,1,1634,0.0,8.1,-0.9,0.0,1.071826171875,-0.11997070312500001
04_structure_laplacian,2,2032,0.0,-0.2,-0.2,0.0,-0.02646484375,-0.02666015625
04_structure_laplacian,3,2651,-0.1,3.9,1.0,-0.1,0.5160644531249999,0.13330078125
04_structure_laplacian,4,2765,0.1,2.6,0.0,0.1,0.34404296875,0.0
04_structure_laplacian,5,3484,0.0,0.1,0.1,0.0,0.013232421875,0.013330078125
04_structure_laplacian,6,3864,0.1,-0.9,-1.0,0.1,-0.119091796875,-0.13330078125
04_structure_laplacian,7,4241,0.0,-0.2,10.2,0.0,-0.02646484375,1.35966796875
04_structure_laplacian,8,4617,0.0,3.7,-0.7,0.0,0.489599609375,-0.093310546875
04_structure_laplacian,9,5001,0.1,-16.3,13.1,0.1,-2.156884765625,1.7462402343749999
04_structure_laplacian,10,5400,-0.1,-16.9,23.6,-0.1,-2.236279296875,3.1458984375
04_structure_laplacian,11,6021,0.0,1.0,1.6,0.0,0.13232421875,0.21328125
04_structure_laplacian,12,6135,0.1,1.9,-1.1,0.1,0.251416015625,-0.146630859375
04_structure_laplacian,13,6857,0.0,4.1,0.0,0.0,0.542529296875,0.0
04_structure_laplacian,14,7232,0.0,-0.9,2.0,0.0,-0.119091796875,0.2666015625
04_structure_laplacian,15,7611,-0.2,-2.0,6.0,-0.2,-0.2646484375,0.7998046875
04_structure_laplacian,16,7985,0.1,0.7,0.6,0.1,0.092626953125,0.07998046874999999
