method,frame,time_sec,shift_z_px,shift_y_px,shift_x_px,shift_z_um,shift_y_um,shift_x_um
01_traditional,0,0,0.0,0.0,0.0,0.0,0.0,0.0
01_traditional,1,1631,0.25,-2.25,0.0,0.25,-0.2977294921875,0.0
01_traditional,2,2028,0.0,9.0,-0.25,0.0,1.19091796875,-0.0333251953125
01_traditional,3,2428,0.25,4.75,0.25,0.25,0.6285400390625,0.0333251953125
01_traditional,4,2541,0.25,4.0,0.0,0.25,0.529296875,0.0
01_traditional,5,3489,0.25,-4.75,1.5,0.25,-0.6285400390625,0.199951171875
01_traditional,6,3865,0.25,0.75,0.5,0.25,0.0992431640625,0.066650390625
01_traditional,7,4245,0.25,3.5,0.5,0.25,0.463134765625,0.066650390625
01_traditional,8,4620,0.0,-4.5,0.25,0.0,-0.595458984375,0.0333251953125
01_traditional,9,4997,0.0,7.25,0.0,0.0,0.9593505859375,0.0
01_traditional,10,5395,0.0,-4.0,0.25,0.0,-0.529296875,0.0333251953125
01_traditional,11,5795,0.0,1.25,0.0,0.0,0.1654052734375,0.0
01_traditional,12,5910,0.0,0.75,-0.25,0.0,0.0992431640625,-0.0333251953125
01_traditional,13,6861,0.5,-6.25,2.75,0.5,-0.8270263671875,0.3665771484375
01_traditional,14,7235,0.25,3.0,0.5,0.25,0.39697265625,0.066650390625
01_traditional,15,7614,0.0,-5.5,1.25,0.0,-0.727783203125,0.1666259765625
01_traditional,16,7990,0.0,2.0,0.25,0.0,0.2646484375,0.0333251953125
02_xy_z_split,0,0,0.0,0.0,0.0,0.0,0.0,0.0
02_xy_z_split,1,1631,0.1,-2.1,0.1,0.1,-0.277880859375,0.013330078125
02_xy_z_split,2,2028,0.1,9.0,-0.3,0.1,1.19091796875,-0.039990234374999996
02_xy_z_split,3,2428,0.1,5.3,0.4,0.1,0.701318359375,0.0533203125
02_xy_z_split,4,2541,0.1,3.9,0.0,0.1,0.5160644531249999,0.0
02_xy_z_split,5,3489,0.1,-4.7,0.8,0.1,-0.621923828125,0.106640625
02_xy_z_split,6,3865,0.2,0.9,0.2,0.2,0.119091796875,0.02666015625
02_xy_z_split,7,4245,0.3,3.7,0.4,0.3,0.489599609375,0.0533203125
02_xy_z_split,8,4620,0.0,-5.2,0.5,0.0,-0.6880859375,0.066650390625
02_xy_z_split,9,4997,0.0,7.4,-0.1,0.0,0.97919921875,-0.013330078125
02_xy_z_split,10,5395,0.2,-3.6,2.0,0.2,-0.4763671875,0.2666015625
02_xy_z_split,11,5795,0.0,0.2,-0.1,0.0,0.02646484375,-0.013330078125
02_xy_z_split,12,5910,0.1,0.4,-0.3,0.1,0.0529296875,-0.039990234374999996
02_xy_z_split,13,6861,0.2,-6.2,2.8,0.2,-0.82041015625,0.3732421875
02_xy_z_split,14,7235,0.3,2.8,0.2,0.3,0.3705078125,0.02666015625
02_xy_z_split,15,7614,0.0,-6.1,2.8,0.0,-0.807177734375,0.3732421875
02_xy_z_split,16,7990,0.2,1.7,0.1,0.2,0.224951171875,0.013330078125
04_structure_laplacian,0,0,0.0,0.0,0.0,0.0,0.0,0.0
04_structure_laplacian,1,1631,0.0,-1.8,0.3,0.0,-0.23818359375,0.039990234374999996
04_structure_laplacian,2,2028,0.0,9.0,-0.5,0.0,1.19091796875,-0.066650390625
04_structure_laplacian,3,2428,0.0,5.2,1.0,0.0,0.6880859375,0.13330078125
04_structure_laplacian,4,2541,0.0,4.2,0.2,0.0,0.55576171875,0.02666015625
04_structure_laplacian,5,3489,0.1,-4.8,1.4,0.1,-0.63515625,0.18662109375
04_structure_laplacian,6,3865,0.1,1.2,0.4,0.1,0.1587890625,0.0533203125
04_structure_laplacian,7,4245,0.0,4.0,0.9,0.0,0.529296875,0.11997070312500001
04_structure_laplacian,8,4620,0.1,-5.6,0.6,0.1,-0.741015625,0.07998046874999999
04_structure_laplacian,9,4997,0.0,7.5,-0.3,0.0,0.992431640625,-0.039990234374999996
04_structure_laplacian,10,5395,0.0,-3.8,0.1,0.0,-0.50283203125,0.013330078125
04_structure_laplacian,11,5795,0.1,1.3,0.3,0.1,0.172021484375,0.039990234374999996
04_structure_laplacian,12,5910,0.0,0.7,-1.3,0.0,0.092626953125,-0.17329101562500002
04_structure_laplacian,13,6861,-0.1,-4.8,1.3,-0.1,-0.63515625,0.17329101562500002
04_structure_laplacian,14,7235,0.0,3.0,0.9,0.0,0.39697265625,0.11997070312500001
04_structure_laplacian,15,7614,0.0,-6.1,0.8,0.0,-0.807177734375,0.106640625
04_structure_laplacian,16,7990,0.1,1.8,0.4,0.1,0.23818359375,0.0533203125
