method,frame,time_sec,shift_z_px,shift_y_px,shift_x_px,shift_z_um,shift_y_um,shift_x_um
01_traditional,0,0,0.0,0.0,0.0,0.0,0.0,0.0
01_traditional,1,1677,0.25,0.0,0.5,0.25,0.0,0.066650390625
01_traditional,2,2076,-0.25,0.0,0.25,-0.25,0.0,0.0333251953125
01_traditional,3,2915,0.0,2.75,0.25,0.0,0.3638916015625,0.0333251953125
01_traditional,4,3031,0.25,0.25,0.75,0.25,0.0330810546875,0.0999755859375
01_traditional,5,3521,0.0,8.5,0.0,0.0,1.124755859375,0.0
01_traditional,6,3902,0.0,4.25,0.0,0.0,0.5623779296875,0.0
01_traditional,7,4278,0.0,6.5,0.0,0.0,0.860107421875,0.0
01_traditional,8,4653,0.0,0.0,1.0,0.0,0.0,0.13330078125
01_traditional,9,5045,0.25,2.75,1.0,0.25,0.3638916015625,0.13330078125
01_traditional,10,5445,0.75,0.0,2.0,0.75,0.0,0.2666015625
01_traditional,11,6287,0.25,0.0,0.75,0.25,0.0,0.0999755859375
01_traditional,12,6404,0.0,0.0,0.0,0.0,0.0,0.0
01_traditional,13,6894,0.25,2.25,1.0,0.25,0.2977294921875,0.13330078125
01_traditional,14,7270,0.25,0.0,1.0,0.25,0.0,0.13330078125
01_traditional,15,7648,1.0,-13.75,1.0,1.0,-1.8194580078125,0.13330078125
01_traditional,16,8023,0.25,0.0,0.25,0.25,0.0,0.0333251953125
02_xy_z_split,0,0,0.0,0.0,0.0,0.0,0.0,0.0
02_xy_z_split,1,1677,-0.1,0.1,-0.3,-0.1,0.013232421875,-0.039990234374999996
02_xy_z_split,2,2076,0.0,0.0,0.0,0.0,0.0,0.0
02_xy_z_split,3,2915,0.1,0.2,0.1,0.1,0.02646484375,0.013330078125
02_xy_z_split,4,3031,0.1,0.1,1.0,0.1,0.013232421875,0.13330078125
02_xy_z_split,5,3521,0.3,8.3,0.0,0.3,1.098291015625,0.0
02_xy_z_split,6,3902,0.0,0.0,0.7,0.0,0.0,0.093310546875
02_xy_z_split,7,4278,0.0,0.1,1.3,0.0,0.013232421875,0.17329101562500002
02_xy_z_split,8,4653,0.0,-0.1,0.3,0.0,-0.013232421875,0.039990234374999996
02_xy_z_split,9,5045,0.2,0.1,0.5,0.2,0.013232421875,0.066650390625
02_xy_z_split,10,5445,0.3,0.0,-0.2,0.3,0.0,-0.02666015625
02_xy_z_split,11,6287,0.0,0.1,0.7,0.0,0.013232421875,0.093310546875
02_xy_z_split,12,6404,0.1,0.0,1.2,0.1,0.0,0.15996093749999998
02_xy_z_split,13,6894,0.0,0.1,1.1,0.0,0.013232421875,0.146630859375
02_xy_z_split,14,7270,0.2,-0.1,0.9,0.2,-0.013232421875,0.11997070312500001
02_xy_z_split,15,7648,0.9,0.0,4.3,0.9,0.0,0.5731933593749999
02_xy_z_split,16,8023,0.0,0.1,-1.0,0.0,0.013232421875,-0.13330078125
04_structure_laplacian,0,0,0.0,0.0,0.0,0.0,0.0,0.0
04_structure_laplacian,1,1677,0.0,2.3,1.1,0.0,0.304345703125,0.146630859375
04_structure_laplacian,2,2076,-0.1,0.2,1.2,-0.1,0.02646484375,0.15996093749999998
04_structure_laplacian,3,2915,0.0,2.9,0.0,0.0,0.383740234375,0.0
04_structure_laplacian,4,3031,0.7,0.0,0.1,0.7,0.0,0.013330078125
04_structure_laplacian,5,3521,-0.1,8.0,0.1,-0.1,1.05859375,0.013330078125
04_structure_laplacian,6,3902,-0.2,1.5,-0.7,-0.2,0.198486328125,-0.093310546875
04_structure_laplacian,7,4278,0.0,6.5,0.0,0.0,0.860107421875,0.0
04_structure_laplacian,8,4653,0.0,-0.6,-0.1,0.0,-0.07939453125,-0.013330078125
04_structure_laplacian,9,5045,0.0,1.1,-1.0,0.0,0.145556640625,-0.13330078125
04_structure_laplacian,10,5445,0.0,3.3,0.0,0.0,0.436669921875,0.0
04_structure_laplacian,11,6287,0.0,3.1,-0.3,0.0,0.410205078125,-0.039990234374999996
04_structure_laplacian,12,6404,0.0,3.2,0.7,0.0,0.4234375,0.093310546875
04_structure_laplacian,13,6894,0.0,4.4,0.3,0.0,0.5822265625,0.039990234374999996
04_structure_laplacian,14,7270,0.1,0.9,-0.2,0.1,0.119091796875,-0.02666015625
04_structure_laplacian,15,7648,0.9,-13.7,0.9,0.9,-1.812841796875,0.11997070312500001
04_structure_laplacian,16,8023,0.0,4.0,0.7,0.0,0.529296875,0.093310546875
