method,frame,time_sec,shift_z_px,shift_y_px,shift_x_px,shift_z_um,shift_y_um,shift_x_um
01_traditional,0,0,0.0,0.0,0.0,0.0,0.0,0.0
01_traditional,1,1654,0.0,0.0,0.25,0.0,0.0,0.0333251953125
01_traditional,2,2052,0.0,2.25,0.0,0.0,0.2977294921875,0.0
01_traditional,3,2781,0.0,4.0,2.25,0.0,0.529296875,0.2999267578125
01_traditional,4,2895,0.0,4.5,0.25,0.0,0.595458984375,0.0333251953125
01_traditional,5,3501,0.0,4.25,0.25,0.0,0.5623779296875,0.0333251953125
01_traditional,6,3881,0.0,6.75,0.0,0.0,0.8931884765625,0.0
01_traditional,7,4258,0.0,-3.0,2.5,0.0,-0.39697265625,0.333251953125
01_traditional,8,4634,0.0,-0.5,0.0,0.0,-0.066162109375,0.0
01_traditional,9,5022,0.0,2.5,0.0,0.0,0.330810546875,0.0
01_traditional,10,5422,0.0,0.0,0.25,0.0,0.0,0.0333251953125
01_traditional,11,6153,0.0,7.25,0.0,0.0,0.9593505859375,0.0
01_traditional,12,6267,0.0,7.25,0.0,0.0,0.9593505859375,0.0
01_traditional,13,6875,0.0,0.25,0.0,0.0,0.0330810546875,0.0
01_traditional,14,7250,0.0,0.0,0.0,0.0,0.0,0.0
01_traditional,15,7627,0.0,4.5,0.0,0.0,0.595458984375,0.0
01_traditional,16,8003,0.0,7.75,0.0,0.0,1.0255126953125,0.0
02_xy_z_split,0,0,0.0,0.0,0.0,0.0,0.0,0.0
02_xy_z_split,1,1654,0.0,-0.2,0.1,0.0,-0.02646484375,0.013330078125
02_xy_z_split,2,2052,0.0,2.2,0.0,0.0,0.29111328125,0.0
02_xy_z_split,3,2781,-0.1,4.2,2.2,-0.1,0.55576171875,0.29326171875
02_xy_z_split,4,2895,0.0,4.0,2.6,0.0,0.529296875,0.34658203125000003
02_xy_z_split,5,3501,0.0,4.4,0.2,0.0,0.5822265625,0.02666015625
02_xy_z_split,6,3881,0.0,6.6,0.1,0.0,0.87333984375,0.013330078125
02_xy_z_split,7,4258,-0.1,0.0,0.0,-0.1,0.0,0.0
02_xy_z_split,8,4634,0.1,-0.2,0.1,0.1,-0.02646484375,0.013330078125
02_xy_z_split,9,5022,0.1,2.5,0.1,0.1,0.330810546875,0.013330078125
02_xy_z_split,10,5422,0.4,0.0,0.0,0.4,0.0,0.0
02_xy_z_split,11,6153,0.0,7.3,-0.2,0.0,0.965966796875,-0.02666015625
02_xy_z_split,12,6267,0.1,7.0,-0.1,0.1,0.92626953125,-0.013330078125
02_xy_z_split,13,6875,0.0,0.2,0.0,0.0,0.02646484375,0.0
02_xy_z_split,14,7250,0.0,0.0,0.1,0.0,0.0,0.013330078125
02_xy_z_split,15,7627,0.1,4.3,0.1,0.1,0.568994140625,0.013330078125
02_xy_z_split,16,8003,0.0,7.6,0.0,0.0,1.0056640625,0.0
04_structure_laplacian,0,0,0.0,0.0,0.0,0.0,0.0,0.0
04_structure_laplacian,1,1654,0.1,-0.3,0.8,0.1,-0.039697265625,0.106640625
04_structure_laplacian,2,2052,0.0,2.6,0.1,0.0,0.34404296875,0.013330078125
04_structure_laplacian,3,2781,-0.1,4.1,2.1,-0.1,0.542529296875,0.27993164062500003
04_structure_laplacian,4,2895,0.0,4.4,2.5,0.0,0.5822265625,0.333251953125
04_structure_laplacian,5,3501,0.0,4.0,0.7,0.0,0.529296875,0.093310546875
04_structure_laplacian,6,3881,-0.1,7.6,0.6,-0.1,1.0056640625,0.07998046874999999
04_structure_laplacian,7,4258,-0.1,-3.2,2.3,-0.1,-0.4234375,0.306591796875
04_structure_laplacian,8,4634,0.0,-1.1,0.4,0.0,-0.145556640625,0.0533203125
04_structure_laplacian,9,5022,-0.1,1.5,0.1,-0.1,0.198486328125,0.013330078125
04_structure_laplacian,10,5422,0.0,-1.8,1.8,0.0,-0.23818359375,0.23994140625000002
04_structure_laplacian,11,6153,0.0,7.7,0.1,0.0,1.0188964843750001,0.013330078125
04_structure_laplacian,12,6267,-0.1,7.4,-0.4,-0.1,0.97919921875,-0.0533203125
04_structure_laplacian,13,6875,0.0,0.5,0.1,0.0,0.066162109375,0.013330078125
04_structure_laplacian,14,7250,-0.1,-0.1,0.1,-0.1,-0.013232421875,0.013330078125
04_structure_laplacian,15,7627,-0.1,3.7,1.0,-0.1,0.489599609375,0.13330078125
04_structure_laplacian,16,8003,-0.1,7.9,0.0,-0.1,1.045361328125,0.0
