method,mse_maxproj_vs_ref,final_drift_z_um,final_drift_y_um,final_drift_x_um
04_structure_laplacian,309.0581310701159,-0.1,1.045361328125,0.0
02_xy_z_split,434.090277161272,0.0,1.0056640625,0.0
01_traditional,444.3763558808362,0.0,1.0255126953125,0.0
